epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.669,1.71171,6.43242,0.03132,0.44005,0.69531,0.47773,0.30811,1.13159,3.31004,0.02851,0.000553106,0.000553106,0.000553106
2,336.739,1.18205,2.68888,0.02059,0.66746,0.77159,0.7842,0.57481,0.97963,0.94697,0.02435,0.0010978,0.0010978,0.0010978
3,500.16,1.06677,1.41363,0.01863,0.75649,0.85324,0.886,0.68461,0.87605,0.63659,0.02143,0.00163148,0.00163148,0.00163148
4,662.863,1.00339,1.02476,0.01729,0.82097,0.80772,0.90199,0.73957,0.71744,0.61213,0.01742,0.00161749,0.00161749,0.00161749
5,823.065,0.91483,0.86715,0.01572,0.83858,0.86818,0.9476,0.76177,0.77111,0.49992,0.01829,0.00160099,0.00160099,0.00160099
6,983.901,0.86881,0.76544,0.01502,0.93054,0.92902,0.9776,0.84654,0.57988,0.32683,0.01384,0.00158448,0.00158448,0.00158448
7,1146.5,0.85855,0.72574,0.01471,0.87556,0.91005,0.96622,0.81439,0.65712,0.4077,0.01557,0.00156798,0.00156798,0.00156798
8,1309.24,0.82912,0.68366,0.01394,0.90042,0.92394,0.97664,0.85062,0.56897,0.34059,0.014,0.00155148,0.00155148,0.00155148
9,1472.11,0.77692,0.63222,0.01323,0.94253,0.9272,0.98329,0.8719,0.54093,0.30206,0.01297,0.00153497,0.00153497,0.00153497
10,1634.78,0.77788,0.60688,0.01314,0.95155,0.93022,0.98463,0.86676,0.5308,0.27658,0.01279,0.00151847,0.00151847,0.00151847
11,1797.81,0.75153,0.57746,0.0126,0.95522,0.9457,0.98757,0.89324,0.49029,0.25549,0.01147,0.00150197,0.00150197,0.00150197
12,1960.91,0.72403,0.57009,0.01206,0.96005,0.95238,0.98853,0.88032,0.50995,0.24979,0.01186,0.00148546,0.00148546,0.00148546
13,2122.1,0.69927,0.54501,0.01165,0.93064,0.9392,0.98774,0.9095,0.42671,0.27696,0.00992,0.00146896,0.00146896,0.00146896
14,2282.03,0.69624,0.53774,0.01146,0.96276,0.97491,0.9923,0.91997,0.41418,0.18858,0.00938,0.00145246,0.00145246,0.00145246
15,2441.97,0.68168,0.50952,0.01145,0.98131,0.9707,0.99301,0.88311,0.50913,0.20006,0.01216,0.00143595,0.00143595,0.00143595
16,2602.27,0.6653,0.47237,0.01113,0.95939,0.96818,0.99147,0.92346,0.39701,0.1912,0.00951,0.00141945,0.00141945,0.00141945
17,2763.15,0.63573,0.43992,0.01062,0.97291,0.96771,0.99122,0.91877,0.42693,0.19433,0.00989,0.00140295,0.00140295,0.00140295
18,2924.14,0.66294,0.46361,0.0109,0.953,0.94456,0.98937,0.9043,0.45517,0.2312,0.01082,0.00138644,0.00138644,0.00138644
19,3085.28,0.64309,0.45341,0.01065,0.97263,0.9659,0.99201,0.92977,0.37724,0.19177,0.0089,0.00136994,0.00136994,0.00136994
20,3247.81,0.61647,0.42498,0.0103,0.96629,0.97284,0.99187,0.925,0.3798,0.18691,0.0087,0.00135344,0.00135344,0.00135344
21,3409.46,0.60614,0.41208,0.00999,0.9634,0.98154,0.99259,0.93539,0.36747,0.17681,0.00824,0.00133693,0.00133693,0.00133693
22,3570.09,0.61543,0.43303,0.01008,0.96768,0.96543,0.99114,0.93011,0.38396,0.20739,0.00908,0.00132043,0.00132043,0.00132043
23,3728.1,0.59999,0.40635,0.00988,0.9714,0.97584,0.99285,0.93947,0.34984,0.16278,0.00807,0.00130393,0.00130393,0.00130393
24,3885.18,0.59117,0.39492,0.00979,0.96368,0.97946,0.99283,0.94613,0.33684,0.17239,0.00778,0.00128742,0.00128742,0.00128742
25,4042.2,0.57828,0.39746,0.00955,0.97046,0.97765,0.99333,0.95064,0.31881,0.14649,0.00723,0.00127092,0.00127092,0.00127092
26,4199.25,0.57901,0.38115,0.00961,0.97359,0.97986,0.9937,0.94372,0.32996,0.14845,0.00753,0.00125442,0.00125442,0.00125442
27,4356.34,0.57714,0.38113,0.0094,0.98079,0.9728,0.99375,0.93914,0.35343,0.15076,0.0082,0.00123791,0.00123791,0.00123791
28,4513.35,0.56037,0.35914,0.00908,0.97564,0.97402,0.99347,0.94479,0.33792,0.14731,0.0079,0.00122141,0.00122141,0.00122141
29,4670.4,0.56312,0.35475,0.0092,0.98346,0.97989,0.99402,0.9493,0.34346,0.1406,0.008,0.00120491,0.00120491,0.00120491
30,4827.38,0.55385,0.34803,0.00903,0.98239,0.9732,0.99339,0.95638,0.30988,0.14644,0.00691,0.0011884,0.0011884,0.0011884
31,4984.37,0.55429,0.35368,0.00897,0.97129,0.98797,0.99405,0.95874,0.28907,0.13201,0.00642,0.0011719,0.0011719,0.0011719
32,5141.39,0.56348,0.35829,0.00922,0.98292,0.98742,0.99454,0.95929,0.29441,0.11996,0.00658,0.0011554,0.0011554,0.0011554
33,5298.46,0.54812,0.35842,0.00891,0.97924,0.98192,0.9941,0.95609,0.3022,0.13403,0.00689,0.00113889,0.00113889,0.00113889
34,5455.5,0.53942,0.33152,0.00887,0.98423,0.97608,0.99417,0.95958,0.29107,0.13681,0.00655,0.00112239,0.00112239,0.00112239
35,5613.41,0.52341,0.31987,0.00851,0.98514,0.97332,0.99395,0.9545,0.33532,0.14285,0.00797,0.00110589,0.00110589,0.00110589
36,5773.96,0.5211,0.32867,0.0085,0.97596,0.97862,0.99378,0.95261,0.32014,0.14624,0.00745,0.00108938,0.00108938,0.00108938
37,5934.53,0.50622,0.32999,0.00828,0.97769,0.98222,0.99403,0.96598,0.28357,0.12673,0.00633,0.00107288,0.00107288,0.00107288
38,6095.12,0.5141,0.31258,0.0084,0.98445,0.97523,0.99428,0.9621,0.29662,0.12691,0.00683,0.00105638,0.00105638,0.00105638
39,6255.7,0.50614,0.31473,0.00816,0.98634,0.97496,0.99457,0.96578,0.29217,0.12146,0.00645,0.00103987,0.00103987,0.00103987
40,6416.26,0.49239,0.3104,0.00796,0.98608,0.9745,0.99415,0.97077,0.26018,0.11882,0.00577,0.00102337,0.00102337,0.00102337
41,6576.87,0.48839,0.30643,0.00784,0.9892,0.98336,0.99462,0.96955,0.26991,0.11494,0.00605,0.00100687,0.00100687,0.00100687
42,6737.52,0.47795,0.29591,0.00765,0.98579,0.98819,0.99463,0.97589,0.24483,0.1095,0.00544,0.000990365,0.000990365,0.000990365
43,6898,0.48773,0.30221,0.00804,0.98548,0.99196,0.9947,0.97375,0.25223,0.10747,0.00569,0.000973861,0.000973861,0.000973861
44,7057.41,0.47892,0.29013,0.00773,0.98256,0.98627,0.99449,0.96866,0.27645,0.11499,0.00626,0.000957358,0.000957358,0.000957358
45,7220.14,0.48371,0.29109,0.00774,0.98597,0.98715,0.99451,0.97512,0.25067,0.10609,0.00554,0.000940855,0.000940855,0.000940855
46,7380.98,0.46254,0.28781,0.00747,0.97317,0.99364,0.99374,0.97117,0.25686,0.114,0.00571,0.000924352,0.000924352,0.000924352
47,7538.92,0.46321,0.29755,0.00745,0.98402,0.98948,0.99467,0.97581,0.24914,0.10597,0.00548,0.000907848,0.000907848,0.000907848
48,7698.09,0.46034,0.28001,0.00744,0.98162,0.98694,0.99436,0.97256,0.26012,0.11283,0.00587,0.000891345,0.000891345,0.000891345
49,7858.64,0.45094,0.26519,0.00722,0.99027,0.97874,0.99455,0.97592,0.23392,0.10857,0.00513,0.000874842,0.000874842,0.000874842
50,8019.13,0.44443,0.2603,0.00716,0.98243,0.99252,0.99474,0.97733,0.23781,0.10151,0.00524,0.000858338,0.000858338,0.000858338
51,8178.17,0.44784,0.28209,0.00724,0.98435,0.98959,0.99469,0.97876,0.23608,0.10055,0.00521,0.000841835,0.000841835,0.000841835
52,8338.12,0.4426,0.26817,0.00711,0.98557,0.97394,0.99414,0.97888,0.2316,0.11212,0.00508,0.000825332,0.000825332,0.000825332
53,8496.67,0.42968,0.26225,0.00684,0.98045,0.98445,0.99434,0.97751,0.23033,0.11091,0.00506,0.000808828,0.000808828,0.000808828
54,8658.85,0.42701,0.26749,0.00683,0.98485,0.98964,0.99471,0.98127,0.22221,0.10354,0.0049,0.000792325,0.000792325,0.000792325
55,8818.08,0.41869,0.24268,0.00672,0.99543,0.97956,0.99472,0.98094,0.22024,0.09791,0.00478,0.000775822,0.000775822,0.000775822
56,8976.63,0.43292,0.25186,0.00684,0.98699,0.98978,0.99472,0.97972,0.21776,0.09997,0.00477,0.000759318,0.000759318,0.000759318
57,9135.44,0.42902,0.25911,0.00685,0.9902,0.99059,0.99489,0.98153,0.2144,0.09378,0.00467,0.000742815,0.000742815,0.000742815
58,9297.3,0.42163,0.24789,0.00674,0.99283,0.99527,0.99499,0.98204,0.20811,0.09389,0.00453,0.000726312,0.000726312,0.000726312
59,9457.11,0.4137,0.24986,0.00651,0.99064,0.97846,0.99462,0.98056,0.20577,0.10147,0.00445,0.000709809,0.000709809,0.000709809
60,9620.62,0.4076,0.23505,0.0065,0.97951,0.98847,0.99467,0.98165,0.1987,0.09752,0.00431,0.000693305,0.000693305,0.000693305
61,9782.26,0.39649,0.22736,0.00624,0.99581,0.97566,0.99457,0.98249,0.2153,0.09784,0.00475,0.000676802,0.000676802,0.000676802
62,9939.34,0.41598,0.23872,0.00671,0.98951,0.98989,0.99481,0.98133,0.20565,0.09235,0.00451,0.000660299,0.000660299,0.000660299
63,10097,0.40217,0.22851,0.00637,0.99626,0.97201,0.99445,0.98038,0.20312,0.10015,0.00454,0.000643795,0.000643795,0.000643795
64,10254,0.38746,0.22988,0.0061,0.98741,0.9904,0.99477,0.98271,0.20759,0.09153,0.00455,0.000627292,0.000627292,0.000627292
65,10411.1,0.38909,0.23015,0.00615,0.97729,0.98837,0.99416,0.98244,0.2038,0.10518,0.00444,0.000610789,0.000610789,0.000610789
66,10568.1,0.38879,0.22067,0.00625,0.98072,0.98162,0.99414,0.98139,0.20137,0.10867,0.00433,0.000594286,0.000594286,0.000594286
67,10725.4,0.38619,0.22101,0.00596,0.98943,0.99227,0.99465,0.98486,0.1957,0.091,0.00427,0.000577782,0.000577782,0.000577782
68,10882.5,0.38249,0.2215,0.00602,0.98219,0.98394,0.99356,0.98238,0.19753,0.10794,0.00428,0.000561279,0.000561279,0.000561279
69,11039.5,0.36939,0.20614,0.00592,0.98782,0.9753,0.99414,0.982,0.19372,0.10086,0.00423,0.000544776,0.000544776,0.000544776
70,11196.6,0.37786,0.21775,0.00595,0.98622,0.98906,0.99475,0.98375,0.19338,0.09073,0.00423,0.000528272,0.000528272,0.000528272
71,11353.7,0.36634,0.2137,0.00582,0.9868,0.99004,0.99471,0.98579,0.18067,0.08775,0.0039,0.000511769,0.000511769,0.000511769
72,11510.8,0.37646,0.21857,0.00587,0.9901,0.97929,0.99439,0.98441,0.18948,0.09267,0.00411,0.000495266,0.000495266,0.000495266
